class,count,ratio
clothes,5325,0.34321624234611664
shoes,1977,0.12742507251047375
paper,1050,0.0676764421527554
biological,985,0.06348694811472769
battery,945,0.06090879793747986
cardboard,891,0.0574282951981953
plastic,865,0.05575249758298421
white-glass,775,0.04995165968417661
metal,769,0.04956493715758943
trash,697,0.04492426683854334
green-glass,629,0.040541411537222044
brown-glass,607,0.03912342893973574
