epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.815757691860199,0.7518009543418884,0.9235976934432983,0.2615523934364319,0.0010000000474974513
2,0.9084025025367737,0.37663424015045166,0.9352030754089355,0.2204749435186386,0.0010000000474974513
3,0.9163779616355896,0.32029443979263306,0.9390715956687927,0.20563946664333344,0.0010000000474974513
4,0.928139865398407,0.27746424078941345,0.939393937587738,0.1991443783044815,0.0010000000474974513
5,0.9271731376647949,0.26819196343421936,0.939393937587738,0.19573454558849335,0.0010000000474974513
6,0.9347458481788635,0.24217693507671356,0.9422953128814697,0.18710952997207642,0.0010000000474974513
7,0.8928542733192444,0.39262524247169495,0.945841372013092,0.1839829832315445,9.999999747378752e-06
8,0.9166196584701538,0.2931249141693115,0.9461637735366821,0.18828313052654266,9.999999747378752e-06
9,0.9263675212860107,0.25324082374572754,0.9455190300941467,0.187027245759964,9.999999747378752e-06
10,0.9362764954566956,0.21311940252780914,0.945841372013092,0.1849491149187088,2.9999998787388904e-06
11,0.9364376068115234,0.21816742420196533,0.9464861154556274,0.18428634107112885,2.9999998787388904e-06
12,0.9387738704681396,0.2067074477672577,0.9451966285705566,0.1845978945493698,8.999999749903509e-07
